Restaurant,Address,Coordinates,Cusines
PizzaExpress (Holland Village),251 Holland Avenue Holland Village Singapore (278981),"1.311264, 103.7957241","Italian, Pizza"
PizzaExpress (Jewel),78 Airport Boulevard#03-230Jewel Changi Airport Singapore (819666),"1.3603912, 103.989642","Italian, Pizza"
PizzaExpress (Marina One),5 Straits View#01-20/21Marina One Singapore (018935),"1.2782987, 103.8525394","Bar, Italian, Pizza"
PizzaExpress (Scotts Square),6 Scotts Road Unit B1-08/09Scotts Square Singapore (228209),"1.305932, 103.832888","Italian, Pizza"
PizzaFace (Concourse),302 Beach Road#01-03The Concourse Skyline Singapore (199600),"1.3006998, 103.861962","Italian, Pizza"
PizzaFace (Ridgewood),5 Ridgewood Close Singapore (276696),"1.3165552, 103.7790207","Italian, Pizza"
Place to READ,46A Prinsep Street#01-01Singapore (188676),"1.3014027, 103.851065","Bar, Greek, Caribbean, Cafe"
PLONK,7 Maju Avenue Serangoon Gardens Estate Singapore (556685),"1.3652776, 103.8654858","Bar, Australian"
Po Restaurant,320 Havelock Road Robertson Quay The Warehouse Hotel Singapore (169628),"1.289177, 103.837495","Local, Modern Asian"
Podi & Poriyal,486 Serangoon Road Singapore (218151),"1.3138746, 103.8572289",Indian
Pollen,18 Marina Gardens Drive#01-09Flower Dome Gardens by the Bay Singapore (018953),"1.2846292, 103.8646975","Modern European, Vegetarian Friendly"
The Populus Coffee & Food Co.,146 Neil Road Singapore (088875),"1.2782569, 103.8406536","American, All-Day Breakfast"
PORTA,1 Unity Street Park Hotel Clarke Quay Singapore (237983),"1.2914332, 103.8423842",Modern European
Porters Restaurant & Bar,4 Marina Boulevard#01-31The Sail @ Marina Bay Singapore (018986),"1.2812533, 103.8528303","Bar, Modern European, Modern Asian"
Positano Risto,66 Bussorah Street Singapore (199479),"1.3011061, 103.8598717","Italian, Vegetarian Friendly"
Positano@RP,49 Circular Road Singapore (049404),"1.2859653, 103.8495339","Modern European, Italian, Pizza"
Potato Head Singapore,36 Keong Saik Road Singapore (089143),"1.2803884, 103.8417139","American, Vegetarian Friendly"
Praelum Wine Bistro,4 Duxton Hill Singapore (089590),"1.2793775, 103.8429624","Modern European, French"
Prata Alley,321 Clementi Avenue 3#01-12Singapore (129905),"1.311998, 103.765014",Indian
Pratunam Market Place and Bar,91 Bencoolen Street #01-17Sunshine Plaza Singapore (189652),"1.3005314, 103.8508826","Bar, Thai, Fusion, Cafe"
Prawn Noodle Bar,9 Duxton Hill Singapore (089593),"1.2793327, 103.8428106","Bar, Chinese, Fusion"
Prego,80 Bras Basah Road Level 1Fairmont Singapore Singapore (189560),"1.293396, 103.8534619","Bar, Modern European, Italian, International, Seafood, Cafe, Pizza, Dessert Only, Mediterranean"
Preludio,182 Cecil Street#03-01/02Frasers Tower Singapore (069547),"1.2786632, 103.8474008","Modern European, Vegetarian Friendly"
Princess Terrace Authentic Penang Food,403 Havelock Road Copthorne Kings Hotel Singapore (169632),"1.2882885, 103.8366159","Buffet, Local, Peranakan"
Privé (Asian Civilisations Museum),1 Empress Place Singapore (179555),"1.287452, 103.8513311",All-Day Breakfast
Privé CHIJMES,30 Victoria Street#01-33CHIJMES Singapore (187996),"1.2949233, 103.8522688","All-Day Breakfast, Burgers"
Privé Clarke Quay,3C River Valley Road#01-09Singapore (179019),"1.2958756, 103.8397046",Burgers
Privé Grill @ The University Club,11 Kent Ridge Drive Storey 4Shaw Foundation Alumni House Singapore (119244),"1.2931357, 103.7736711",French
Privé Keppel Bay,2 Keppel Bay Vista Marina At Keppel Bay Singapore (098382),"1.2640448, 103.8125054","Australian, All-Day Breakfast"
Privé Paragon,290 Orchard Road#01-37Singapore (238859),"1.3039054, 103.8355763","Bar, All-Day Breakfast, Cafe"
Privé Robertson Quay,41 Robertson Quay#01-01/02-02Singapore (238236),"1.2911018, 103.8402617","Vegetarian Friendly, Cafe"
Privé Somerset,313 Orchard Road#01-28313@Somerset Singapore (238895),"1.300898, 103.838361","Bar, All-Day Breakfast, Cafe"
Privé Tiong Bahru,57 Eng Hoon Street#01-88Block 57Singapore (160057),"1.2848656, 103.8335292","Bar, All-Day Breakfast, Cafe"
Privé Wheelock,501 Orchard Road#01-K1Wheelock Place Singapore (238880),"1.3047145, 103.8305375","Bar, All-Day Breakfast, Cafe"
Professor Brawn Bistro (Enabling Village),"20 Lengkok Bahru#01-17Enabling Village, Academy Block Singapore (159053)","1.2872392, 103.8147884","Modern European, All-Day Breakfast, British, Cafe"
The Providore (Downtown),6A Shenton Way#B1-07Downtown Gallery Singapore (068809),"1.2781087, 103.8491474","Bar, Australian, Fusion, Seafood, Vegetarian Friendly, Cafe"
The Providore (Mandarin Gallery),333A Orchard Road#02-05Mandarin Gallery Singapore (238897),"1.3020012, 103.8368202","Bar, Australian, Cafe"
The Providore (PLQ),1 Paya Lebar Link#01-01Singapore (408533),"1.3177101, 103.893902","Australian, Vegetarian Friendly, Cafe"
The Providore (Raffles Place),7 Raffles Place Singapore (048625),"1.2838533, 103.8519697","Vegetarian Friendly, Cafe"
PS.Cafe Ann Siang Hill,45 Ann Siang Road#02-02Singapore (069719),"1.2806377, 103.8460972","American, Bar, Modern European, Australian, International, South American, Cafe, Pizza, Burgers, Modern Asian"
PS.Cafe East Coast Park,1110 East Coast Parkway#01-05/06/07Cyclist Park Singapore (449880),"1.3071164, 103.9349311","American, Bar, International, Cafe"
PS.Cafe Great World City,1 Kim Seng Promenade#01-155/156Great World City Singapore (237994),"1.2936417, 103.8319293","American, Modern European, Australian, International, South American, Cafe, Burgers, Modern Asian"
PS.Cafe Harding,28B Harding Road Singapore (249549),"1.3046862, 103.8110075","American, Bar, Modern European, Australian, International, South American, Vegetarian Friendly, Cafe, Burgers, Modern Asian"
PS.Cafe Martin,38A Martin Road#01-02Singapore (239072),"1.2921214, 103.8380038","American, Bar, Modern European, Australian, International, South American, Local, Cafe, Pizza, Burgers, Modern Asian"
PS.Cafe One Fullerton,1 Fullerton Road#02-03B/04One Fullerton Singapore (049213),"1.2861808, 103.854204","American, Bar, Modern European, Australian, International, South American, Vegetarian Friendly, Local, Cafe, Pizza, Burgers, Modern Asian"
PS.Cafe Palais Renaissance,390 Orchard Road Level 2Palais Renaissance Singapore (238871),"1.3067391, 103.829583","American, Bar, Modern European, Australian, International, South American, Local, Cafe, Burgers, Modern Asian"
PS.Cafe Paragon,290 Orchard Road#03-41/42Paragon Shopping Centre Singapore (238859),"1.3038699, 103.8357982","American, Modern European, Australian, International, South American, Cafe, Burgers, Modern Asian"
PS.Cafe Raffles City,252 North Bridge Road#03-37Raffles City Shopping Centre Singapore (179103),"1.2937585, 103.8534331","American, Bar, Modern European, Australian, International, Cafe"
The Public House,42 Upper Circular Road Singapore (049398),"1.2891451, 103.8477725","American, Bar, Vegetarian Friendly, Cafe, Pizza, Burgers"
Publico Ristorante,1 Nanson Road Inter Continental Singapore Robertson Quay Singapore (238909),"1.2901492, 103.8386544","Bar, Italian, Pizza"
PUJIM BBQ,82 Amoy Street#01-00Singapore (069901),"1.2807712, 103.8469171","Korean, BBQ"
Pura Brasa,5 Wallich Street#01-16Singapore (078881),"1.2765378, 103.8462206","Spanish, Seafood, Steakhouse"
Q-WA Bar and Yakitori,39 East Coast Road Singapore (428756),"1.304874, 103.9029236",Japanese
Q-WA Izakaya,103 Beach Road#01-02Marrison Hotel Lobby Singapore (189704),"1.2978267, 103.8571777","Bar, Japanese, BBQ"
Quaich Bar (South Beach),30 Beach Road#01-16Singapore (189768),"1.2947261, 103.855865",Bar
Quaich Bar (Waterfront Plaza),390A Havelock Road#01-09/10Waterfront Plaza Singapore (169664),"1.289998, 103.8351791",Bar
The Quarters,16 Enggor Street#01-09Icon Village Singapore (079717),"1.2745683, 103.8442247","Fusion, Steakhouse, Local, Southeast Asian"
Quentin's Bar & Restaurant,"2 Gunner Lane#01-08Block 14, Mess Hall Singapore (099567)","1.2532469, 103.820743",Fusion
Quentin's Eurasian Restaurant,139 Ceylon Road Eurasian Community House Singapore (429744),"1.3100807, 103.8994086","Bar, Chinese, Indian, Malaysian, Fusion, Local"
The Rabbit Hole,39C Harding Road Singapore (249541),"1.3048733, 103.8135205",Bar
Racines,9 Wallich Street Sofitel Singapore City Centre Singapore (078885),"1.2768338, 103.8454143","Chinese, French, Vegetarian Friendly"
Raffles Courtyard,328 North Bridge Road Raffles Arcade Singapore (188719)(Accessible via North Bridge Road entrance),"1.2955861, 103.8540165",Local
Rakuichi Japanese Restaurant,10 Dempsey Road#01-22Singapore (247700),"1.3033906, 103.8104867",Japanese
The Ramen House,6 Short Street Singapore (188213),"1.302178, 103.8503409",Japanese
The Ramen Stall,787 North Bridge Road Singapore (198755),"1.3039588, 103.8598988","Japanese, Fusion"
The RANCH Steakhouse By ASTONS,3 River Valley Road Block B#01-15Singapore (179021),"1.2909899, 103.8455947","American, Bar, Steakhouse"
Rang Mahal,"7 Raffles Boulevard Level 3, Pan Pacific Hotel Singapore (039595)","1.2924176, 103.8585852","Buffet, Indian, Vegetarian Friendly"
Rappu Handroll Bar,52 Duxton Road Singapore (089516),"1.2782247, 103.843358","Bar, Japanese"
Rattana Thai Restaurant,"Blk 1 Tanjong Pagar Plaza #02-30,Singapore (082001)","1.275726, 103.842667","Thai, Seafood, Vegetarian Friendly"
Raw Kitchen Bar,66 Kampong Bugis#01-01Singapore (338987),"1.3060193, 103.8661277","Fusion, South American, Modern Asian"
The Rebel Company Cafe & Bar (Serangoon Gardens),11 Kensington Park Road Singapore (557264),"1.3651531, 103.8660698","American, Bar, Italian, All-Day Breakfast, Vegetarian Friendly, Cafe, Burgers, BBQ"
Red Crab,180 Albert Street#01-09Village Hotel Albert Court Singapore (189971),"1.3041249, 103.8509176","American, Chinese, Fusion, Zi Char"
Red Eye Smokehouse,1 Cavan Road Singapore (209842),"1.310826, 103.8610745","American, South American, BBQ"
Red House Seafood (Clarke Quay),3C River Valley Road#01-02/03The Cannery Singapore (179022),"1.29102, 103.8459532","Seafood, Local, Dim Sum, Zi Char"
Red House Seafood (Grand Copthorne),392 Havelock Road#02-00Grand Copthorne Waterfront Hotel Singapore (169663),"1.2900873, 103.8353025","Chinese, Seafood, Local, Zi Char"
Red House Seafood (Prinsep),"68 Prinsep Street,Singapore (188661)","1.2998409, 103.8501126","Chinese, Seafood, Local, Dim Sum, Zi Char"
Red Noodle & Bottle Bar,1 Fusionopolis Place Galaxis Singapore (138522),"1.2996794, 103.78726","Bar, Local"
Red Sparrow,11 Dempsey Road#01-18Singapore (249673),"1.3042341, 103.8100792","Vietnamese, Vegetarian Friendly, Cafe"
RedDot BrewHouse @ Dempsey Hill,25A Dempsey Road Singapore (247691),"1.3061832, 103.8115055","Bar, German, Pizza"
REDPAN,6 Raffles Boulevard#02-03/04Marina Square Singapore (039594),"1.2913998, 103.8564267","Bar, Fusion, Vegetarian Friendly, Local, Modern Asian"
Renga-Ya,30 Victoria Street#01-11/12CHIJMES Singapore (187996),"1.2976446, 103.8532946","Bar, Japanese, Steakhouse, BBQ"
RENNThai,3D River Valley Road#01-05Clarke Quay Singapore (179023),"1.2897826, 103.8456164",Thai
Restaurant JAG,76 Duxton Road Singapore (089535),"1.2782996, 103.8431688",French
Restaurant Labyrinth,8 Raffles Avenue#02-23Esplanade Mall Singapore (039802),"1.2897447, 103.8562976","Local, Southeast Asian, Modern Asian"
Ricciotti (Riverwalk),20 Upper Circular Road B1-49/50The Riverwalk Singapore (058416),"1.289265, 103.848482","Bar, Italian, Seafood, Vegetarian Friendly"
Riders Cafe,51 Fairways Drive Singapore (286965),"1.3429877, 103.7972416",Modern European
Ristorante Da Valentino Singapore,200 Turf Club Road#01-19The Grand Stand Singapore (287994),"1.3380084, 103.7934418",Italian
Ristorante Palermo,2 Keppel Bay Vista#02-03Singapore (098382),"1.2640047, 103.8124338","Bar, Italian, Pizza"
Ristorante Takada,356 Alexandra Road#01-07Alexis Condominium Singapore (155948),"1.2913174, 103.8074006","Japanese, Italian"
Riverwalk Tandoor,20 Upper Circular Road#B1-38The Riverwalk Singapore (058416),"1.2891375, 103.8483462","Bar, Buffet, Indian"
Riviera,1 Fullerton Road#02-06One Fullerton Singapore (049213),"1.2857124, 103.8539549",Italian
Rocku Yakiniku,201 Victoria Street#04-06Bugis+Singapore (188067),"1.2995955, 103.8542191","Buffet, Japanese, BBQ"
Rookery (Hong Leong Building),16 Raffles Quay#01-02A Hong Leong Building Singapore (048581),"1.281186, 103.8508349","Australian, British, Cafe, Burgers"
Roots Mediterranean,2 Greenwood Avenue Singapore (289189),"1.33135, 103.807347","Italian, Vegetarian Friendly, Pizza"
The Rose Veranda,"22 Orange Grove Road Mezzanine Level, Tower Wing Shangri-La Hotel Singapore (258350)","1.3112195, 103.8263306","Buffet, International"
Rosso Vino,15 Merbau Road Singapore (239032),"1.2912564, 103.8420506","Bar, Italian, Seafood, Steakhouse, Vegetarian Friendly, Cafe"
Route 65 Bar + Kitchen,3 Temasek Boulevard#01-434Suntec City North Wing Singapore (038983),"1.2948418, 103.8580765","Bar, Modern Asian"
Royal Palm @ Orchid Country Club,1 Orchid Club Road01-21/22Orchid Country Club Singapore (769162),"1.411778, 103.8443315","International, Halal Certified"
Royal Taj,2 Gunner Lane02-07Mess Hall Sentosa Singapore (099567),"1.2528382, 103.8207408","Buffet, Indian, Vegetarian Friendly"
Royal Thai,53 East Coast Road Singapore (428771),"1.3050795, 103.9032992",Thai
Royale,122 Middle Road Level 3Mercure Singapore Bugis Singapore (188973),"1.2995871, 103.8529888","International, Local"
RUBATO Italian Restaurant & Wine Bar,12 Greenwood Avenue Singapore (289204),"1.3312106, 103.8070357","Italian, Vegetarian Friendly"
Rui Xiang Restaurant 瑞祥美食,131 Bencoolen Street#01-01Hotel G Singapore Singapore (189639),"1.300881, 103.8518192","Chinese, Vegetarian Friendly, Dim Sum, Zi Char"
Runway80,163 Upper Paya Lebar Road Singapore (534857),"1.3395919, 103.88556","American, Bar, All-Day Breakfast, Cafe, Burgers"
Ruth's Chris Steak House,6 Raffles Boulevard4th Floor Parkroyal Collection Marina Bay Hotel Singapore (039594),"1.2917922, 103.8571184","American, Steakhouse"
RVLT,38 Carpenter Street#01-01Singapore (059917),"1.2879888, 103.8478253","Bar, Local, Modern Asian"
Sabio By The Sea,"31 Ocean Way #01-02,Quayside Isle Singapore (098375)","1.24805, 103.8415831",Spanish
Saint Pierre,"1 Fullerton Road#02-02B, One Fullerton Singapore (049213)","1.2857124, 103.8539549","Modern European, French, Vegetarian Friendly"
Salaam Bombay,1 Fusionopolis Place#2-03Galaxis Singapore (139552),"1.3004512, 103.7871501",Indian
Salted & Hung,12 Purvis Street Singapore (188591),"1.2965458, 103.855279",Australian
Saltwater,1 Netheravon Road Changi Village Hotel Singapore (508502),"1.3904644, 103.9860557","Buffet, International, Halal Certified, Modern Asian"
Salvo by Pasta Fresca,2 Tanjong Katong Road#01-05PLQ3 Singapore (437161),"1.3158708, 103.8935559","Italian, Pizza"
The Sampan,63 Boat Quay Singapore (049851),"1.2876603, 103.8492684","Chinese, Fusion, Southeast Asian, Modern Asian"
San Laksa Steamboat,404 Telok Blangah Road Singapore (098840),"1.2697846, 103.8138391","Chinese, Seafood, Steamboat"
San Yuan Ge,1 Joo Koon Circle#03-26Fair Price Hub Singapore (629117),"1.3269112, 103.6784659","Chinese, Local, Dim Sum"
SandBank,920 East Coast Parkway#01-28/92Parkland Green Singapore (449875),"1.2988825, 103.90615","American, Bar, Buffet, Modern European, Italian, Australian, Fusion, International, Seafood, British, Cafe"
Sanobar Restaurant,20 Baghdad Street Singapore (199659),"1.3011331, 103.8597572","Middle Eastern, Greek, Vegetarian Friendly"
Santa Fe Tex-Mex Grill,6 Purvis Street Singapore (188585),"1.2966975, 103.8549956","American, Steakhouse, Mexican"
Sarnies Cafe,136 Telok Ayer Street Singapore (068601),"1.2816376, 103.8479654",Cafe
Saturday House,55 Ubi Ave 3#01-05Aspial One Singapore (408864),"1.3337767, 103.8970899","American, Cafe, Burgers, BBQ"
Saveur (Purvis),5 Purvis Street#01-04Singapore (188584),"1.2968238, 103.8550837",French
SaVour Eat,3 Townshend Road #01-01A Singapore (207601),"1.3077141, 103.8583098","Bar, Chinese, Italian, Fusion, Seafood, Local, Caribbean, Cajun, Cafe, Burgers"
Sawadee Thai Cuisine,9 Tan Quee Lan Street#01-01Tan Quee Lan Suites Singapore (188098),"1.2983367, 103.8567096",Thai
Sbagliato Kitchen & Bar,3/4 Amoy Street Singapore (049947),"1.2831999, 103.848571","Italian, Vegetarian Friendly"
SBCD Korean Tofu House (Millenia Walk),9 Raffles Boulevard#01-114Millenia Walk Singapore (039596),"1.293701, 103.8592787",Korean
SBCD Korean Tofu House (Tanjong Pagar Centre),7 Wallich Street B1-01/02Tanjong Pagar Centre Singapore (078884),"1.2770022, 103.8454634",Korean
Se7enth,6 Shenton Way#07-01Oakwood Premier AMTD Singapore OUE Downtown 1Singapore (068809),"1.2767227, 103.8483156","American, International, Vegetarian Friendly"
Sea Tripod @ Garden,2 Jurong Gateway Road#01-02Singapore (608512),"1.3367, 103.7455783","Chinese, Seafood, Zi Char, BBQ"
The Seagrill,260 Nicoll Drive Changi Beach Park Singapore (498991),"1.3909433, 103.9920554","American, All-Day Breakfast"
Seasonal Tastes,12 Marina View Level 32Asia Square Tower 2The Westin Singapore Singapore (018961),"1.2782749, 103.8507719","Buffet, International, Seafood, Local"
Sen Of Japan,2 Bayfront Avenue#01-86The Shoppes at Marina Bay Sands Singapore (018972),"1.2837366, 103.8591923",Japanese
Sens Sushi & Grill,118 Holland Avenue#B1-12/13Singapore (278997),"1.3105313, 103.7961337",Japanese
Seoul Kitchen,435 Sembawang Road Singapore (758398),"1.4282729, 103.826511","Buffet, Korean"
Sessions,26 Sentosa Gateway#02-261/262/263/264Resorts World Sentosa Singapore (098138),"1.2569714, 103.8203898",Local
Señor Taco (CHIJMES),30 Victoria Street#01-19CHIJMES Singapore (187996),"1.2950326, 103.8524229","Bar, Vegetarian Friendly, Mexican"
Señor Taco (Clarke Quay),3A River Valley Road#01-07Clarke Quay Singapore (179020),"1.2899783, 103.8452447","Bar, Vegetarian Friendly, Mexican"
SG Taps,13 Duxton Hill#01-01Singapore (089597),"1.2791378, 103.8427163","Bar, Japanese"
Shabestan,"80 Mohamed Sultan Road Robertson Quay, #01-13Singapore (239013)","1.2910376, 103.8405841",Middle Eastern
Shahi Maharani,"252 North Bridge Road#03-21B, Raffles City Shopping Centre Singapore (179103)","1.2942553, 103.853902","Indian, Vegetarian Friendly"
Shang Palace,"22 Orange Grove Road Lobby Level, Tower Wing Shangri-La Hotel, Singapore Singapore (258350)","1.3112195, 103.8263306","Chinese, Dim Sum"
